"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Suggest Locator From Dom Snapshot","","2026-06-12","passed","2026-06-12","Smart Ui Tools","Ai","",""
"","526","Product Image Title Price Are Visible","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","10","Generate Test Ideas From Natural Language Requirement","","2026-06-12","passed","2026-06-12","Smart Ui Tools","Ai","",""
"","1453","Checkout Total Is Displayed","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","313","Blank Username Shows Required Error","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","1033","Cart Badge Updates When Product Is Added And Removed","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","1527","Checkout Requires Postal Code","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","2306","Customer Can Complete Checkout","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","685","Sort Products Name Z To A","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","1902","Checkout Requires Last Name","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","5494","Performance Glitch User Login Behavior","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","1245","Invalid Password Shows Helpful Error","","2026-06-12","passed","2026-06-12","","Login","",""
"","391","Locked Out User Is Rejected","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","711","Sort Products Price High To Low","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","5587","Performance Glitch User Login Behavior","","2026-06-12","passed","2026-06-12","","Login","",""
"","603","Standard User Can Log In","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","429","Blank Password Shows Required Error","","2026-06-12","passed","2026-06-12","","Login","",""
"","599","Product Details Page Opens Correctly","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","928","Locked Out User Is Rejected","","2026-06-12","passed","2026-06-12","","Login","",""
"","2143","Checkout Requires First Name","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","429","Blank Username Shows Required Error","","2026-06-12","passed","2026-06-12","","Login","",""
"","427","Blank Password Shows Required Error","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","1838","Checkout Overview Shows Correct Item","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","1591","Cancel Checkout Returns To Inventory","","2026-06-12","passed","2026-06-12","Checkout","Ui","",""
"","437","Invalid Password Shows Helpful Error","","2026-06-12","passed","2026-06-12","Login","Ui","",""
"","2387","Standard User Can Log In","","2026-06-12","passed","2026-06-12","","Login","",""
"","1507","Products Can Be Sorted By Lowest Price","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
"","828","Multiple Products Can Be Added To Cart","","2026-06-12","passed","2026-06-12","Inventory","Ui","",""
